"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","blast_hit","evalue","ProteinNames","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"720","Pocillopora_acuta_HIv2___RNAseq.g25161.t1",299.217201356151,-8.6439072845009,3.72674887128507,6.86547685072346e-07,1.13358741060347e-05,"Q9Y3B7",8.69e-55,"Large ribosomal subunit protein uL11m (39S ribosomal protein L11, mitochondrial) (L11mt) (MRP-L11)","mitochondrial translation [GO:0032543]; translation [GO:0006412]","GO:0003723; GO:0003735; GO:0005739; GO:0005743; GO:0005761; GO:0005762; GO:0006412; GO:0032543; GO:0070180","mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]","large ribosomal subunit rRNA binding [GO:0070180]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]"
"721","Pocillopora_acuta_HIv2___RNAseq.g14060.t1",664.041919546602,-1.07490696595027,1.89638776531342,6.9775259630351e-07,1.14946395819294e-05,"A7UKY7",9.87e-67,"Insulinoma-associated protein 1 (Zinc finger protein IA-1)","endocrine pancreas development [GO:0031018]; endodermal cell differentiation [GO:0035987]; gland development [GO:0048732]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; pancreatic A cell differentiation [GO:0003310]; transdifferentiation [GO:0060290]; type B pancreatic cell differentiation [GO:0003309]","GO:0000122; GO:0000978; GO:0003309; GO:0003310; GO:0003700; GO:0005634; GO:0007399; GO:0017053; GO:0031018; GO:0031490; GO:0035987; GO:0046872; GO:0048732; GO:0060290","nucleus [GO:0005634]; transcription repressor complex [GO:0017053]","chromatin DNA binding [GO:0031490]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
"722","Pocillopora_acuta_HIv2___RNAseq.g23879.t1",310.566223860072,-4.44062049559738,4.3369217040239,6.99074382967559e-07,1.15033127135868e-05,"Q60HG9",0,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)","carnitine metabolic process [GO:0009437]; fatty acid beta-oxidation [GO:0006635]; long-chain fatty acid metabolic process [GO:0001676]","GO:0001676; GO:0004095; GO:0005743; GO:0006635; GO:0008458; GO:0009437; GO:0016746","mitochondrial inner membrane [GO:0005743]","acyltransferase activity [GO:0016746]; carnitine O-octanoyltransferase activity [GO:0008458]; carnitine O-palmitoyltransferase activity [GO:0004095]"
"723","Pocillopora_acuta_HIv2___RNAseq.g9824.t1",3467.23763013346,-5.5480406688671,2.63131536246119,7.16935917975984e-07,1.17704439473378e-05,"B8NHE3",6.7e-11,"Methyltransferase flvH (EC 2.1.1.-) (Flavunoidine biosynthesis cluster protein H)","methylation [GO:0032259]; terpenoid biosynthetic process [GO:0016114]","GO:0008168; GO:0016114; GO:0032259; GO:0046872","","metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]"
"724","Pocillopora_acuta_HIv2___TS.g805.t1a",1602.31304332393,-1.33744998947049,2.56334886626905,7.21378934337239e-07,1.18299602111721e-05,"P19623",1.01e-149,"Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)","cellular response to leukemia inhibitory factor [GO:1990830]; polyamine metabolic process [GO:0006595]; spermidine biosynthetic process [GO:0008295]","GO:0004766; GO:0005829; GO:0006595; GO:0008295; GO:0042802; GO:0042803; GO:1990830","cytosol [GO:0005829]","identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; spermidine synthase activity [GO:0004766]"
"725","Pocillopora_acuta_HIv2___RNAseq.g13784.t1",113.997873020613,8.55690572010496,3.44776411421558,7.22809124214029e-07,1.18399900029804e-05,"Q04604",7.19e-103,"Tyrosinase (EC 1.14.18.1) (Monophenol monooxygenase)","melanin biosynthetic process from tyrosine [GO:0006583]","GO:0004503; GO:0005507; GO:0006583; GO:0033162; GO:0042470","melanosome [GO:0042470]; melanosome membrane [GO:0033162]","copper ion binding [GO:0005507]; tyrosinase activity [GO:0004503]"
"726","Pocillopora_acuta_HIv2___RNAseq.g9723.t1",149.270272404236,-1.29056869602726,2.84732631724584,7.38869247530464e-07,1.20349153111268e-05,"P29241",1.2e-48,"ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.-) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase) (ADPRC) (ADRC) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase)","positive regulation of B cell proliferation [GO:0030890]; single fertilization [GO:0007338]","GO:0003953; GO:0005886; GO:0007338; GO:0016740; GO:0016849; GO:0030890; GO:0031410; GO:0061809","cytoplasmic vesicle [GO:0031410]; plasma membrane [GO:0005886]","NAD+ nucleosidase activity [GO:0003953]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; phosphorus-oxygen lyase activity [GO:0016849]; transferase activity [GO:0016740]"
"727","Pocillopora_acuta_HIv2___TS.g17699.t2",262.889461154415,-1.15438104214385,2.27398438866567,7.4455054861575e-07,1.21138123005379e-05,"Q3UVD5",3.11e-27,"Leucine-rich repeat-containing G-protein coupled receptor 6","bone regeneration [GO:1990523]; cell population proliferation [GO:0008283]; positive regulation of cell migration [GO:0030335]; positive regulation of Wnt signaling pathway [GO:0030177]; tissue regeneration [GO:0042246]; Wnt signaling pathway [GO:0016055]","GO:0004930; GO:0005615; GO:0005886; GO:0008283; GO:0016055; GO:0016500; GO:0030177; GO:0030335; GO:0031012; GO:0031982; GO:0042246; GO:1990523","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; vesicle [GO:0031982]","G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]"
"728","Pocillopora_acuta_HIv2___RNAseq.g8913.t1",760.921789243271,-3.00504335029076,0.695729429839004,7.5797064877157e-07,1.23044752680494e-05,"P10079",3.51e-11,"Fibropellin-1 (Epidermal growth factor-related protein 1) (Fibropellin-I) (SpEGF I) (UEGF-1)","","GO:0005509; GO:0005576; GO:0009374; GO:0031410; GO:0032579","apical lamina of hyaline layer [GO:0032579]; cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]","biotin binding [GO:0009374]; calcium ion binding [GO:0005509]"
"729","Pocillopora_acuta_HIv2___RNAseq.g6559.t1",684.897710987234,5.85614478356394,2.29245461723856,8.04289197811658e-07,1.3041747709807e-05,"A7RX26",0,"Probable imidazolonepropionase (EC 3.5.2.7) (Amidohydrolase domain-containing protein 1 homolog)","L-histidine catabolic process [GO:0006548]; L-histidine catabolic process to glutamate and formamide [GO:0019556]; L-histidine catabolic process to glutamate and formate [GO:0019557]","GO:0005737; GO:0006548; GO:0019556; GO:0019557; GO:0046872; GO:0050480","cytoplasm [GO:0005737]","imidazolonepropionase activity [GO:0050480]; metal ion binding [GO:0046872]"
"730","Pocillopora_acuta_HIv2___RNAseq.g23181.t1",528.624851597731,-8.88021346247416,4.68820166249941,8.06868537765158e-07,1.30543026065271e-05,"Q17LW0",7.15e-107,"Myosin-VIIa (Protein crinkled)","actin filament-based movement [GO:0030048]; antennal morphogenesis [GO:0048800]; chaeta morphogenesis [GO:0008407]; imaginal disc-derived wing hair organization [GO:0035317]; sensory perception of sound [GO:0007605]","GO:0000146; GO:0003779; GO:0005524; GO:0005737; GO:0007605; GO:0008407; GO:0016459; GO:0030048; GO:0032027; GO:0035317; GO:0048800; GO:0071944; GO:0120025","cell periphery [GO:0071944]; cytoplasm [GO:0005737]; myosin complex [GO:0016459]; plasma membrane bounded cell projection [GO:0120025]","actin binding [GO:0003779]; ATP binding [GO:0005524]; microfilament motor activity [GO:0000146]; myosin light chain binding [GO:0032027]"
"731","Pocillopora_acuta_HIv2___RNAseq.g9090.t1",169.7101423904,-7.19083392448304,2.68556374601351,8.20640866558016e-07,1.32202358280614e-05,"Q9WUW9",7.37e-52,"Sulfotransferase 1C2A (ST1C2A) (rSULT1C2A) (EC 2.8.2.1) (Sulfotransferase K2)","sulfation [GO:0051923]","GO:0004062; GO:0005737; GO:0005764; GO:0008146; GO:0051923","cytoplasm [GO:0005737]; lysosome [GO:0005764]","aryl sulfotransferase activity [GO:0004062]; sulfotransferase activity [GO:0008146]"
"732","Pocillopora_acuta_HIv2___RNAseq.g3509.t1",137.23526639955,5.67747055275394,3.23841996467842,8.25230108096036e-07,1.32623647594456e-05,"V6CLA2",7.25e-18,"E3 ubiquitin-protein ligase hecd-1 (EC 2.3.2.26)","determination of adult lifespan [GO:0008340]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; regulation of cell fate specification [GO:0042659]; regulation of germ cell proliferation [GO:1905936]; regulation of response to oxidative stress [GO:1902882]; regulation of vulval development [GO:0040028]","GO:0008340; GO:0016607; GO:0032436; GO:0040028; GO:0042659; GO:0043161; GO:0045746; GO:0045747; GO:0046872; GO:0061630; GO:0070534; GO:1902882; GO:1905936","nuclear speck [GO:0016607]","metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]"
"733","Pocillopora_acuta_HIv2___RNAseq.g30904.t1",207.366849951932,-8.79838022129677,3.37700995380706,8.2898851198658e-07,1.32932259837848e-05,"P27163",4.14e-15,"Calmodulin-2 (CaM-2)","","GO:0005509; GO:0030234","","calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]"
"734","Pocillopora_acuta_HIv2___RNAseq.26328_t",293.952567178692,-6.39606933145288,2.77238510210907,8.43935193562127e-07,1.3502963096994e-05,NA,NA,NA,NA,NA,NA,NA
"735","Pocillopora_acuta_HIv2___TS.g28908.t1",330.892129866623,-5.6373187071942,1.94797790833552,8.50420338381458e-07,1.35916903583971e-05,"Q0IIL7",7.88e-06,"Complexin-1","regulation of neurotransmitter secretion [GO:0046928]; synaptic vesicle exocytosis [GO:0016079]","GO:0000149; GO:0005829; GO:0016079; GO:0019905; GO:0031201; GO:0043195; GO:0043204; GO:0046928","cytosol [GO:0005829]; perikaryon [GO:0043204]; SNARE complex [GO:0031201]; terminal bouton [GO:0043195]","SNARE binding [GO:0000149]; syntaxin binding [GO:0019905]"
"736","Pocillopora_acuta_HIv2___RNAseq.17790_t",8086.66498713056,3.39384838278179,0.841610661164724,8.5328849842362e-07,1.3622477749668e-05,NA,NA,NA,NA,NA,NA,NA
"737","Pocillopora_acuta_HIv2___RNAseq.26321_t",275.957116094281,-8.68982143823461,3.76672050943082,8.68507202500067e-07,1.38408891014356e-05,"Q5U374",3.26e-111,"Kelch-like protein 12","anterior/posterior pattern specification [GO:0009952]; convergent extension involved in axis elongation [GO:0060028]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; neural crest cell development [GO:0014032]; neural crest formation [GO:0014029]; protein monoubiquitination [GO:0006513]; Wnt signaling pathway [GO:0016055]","GO:0006513; GO:0006888; GO:0009952; GO:0014029; GO:0014032; GO:0016055; GO:0030127; GO:0030134; GO:0031463; GO:0048208; GO:0060028","COPII vesicle coat [GO:0030127]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; Cul3-RING ubiquitin ligase complex [GO:0031463]",""
"738","Pocillopora_acuta_HIv2___TS.g17564.t1",121.614244317315,-8.59467440116575,3.39306096095458,8.69755073020901e-07,1.38408891014356e-05,"O15254",0,"Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)","fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]","GO:0005504; GO:0005777; GO:0005782; GO:0005829; GO:0016020; GO:0016402; GO:0033540; GO:0050660; GO:0055088; GO:0071949","cytosol [GO:0005829]; membrane [GO:0016020]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]","FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; pristanoyl-CoA oxidase activity [GO:0016402]"
"739","Pocillopora_acuta_HIv2___TS.g29618.t1",80.5444454545595,-8.12181892379604,2.8566223382445,9.02713821711016e-07,1.43416094920798e-05,"O75581",0,"Low-density lipoprotein receptor-related protein 6 (LRP-6)","canonical Wnt signaling pathway [GO:0060070]; cell-cell adhesion [GO:0098609]; cellular response to cholesterol [GO:0071397]; chemical synaptic transmission [GO:0007268]; dopaminergic neuron differentiation [GO:0071542]; endocytosis [GO:0006897]; midbrain dopaminergic neuron differentiation [GO:1904948]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; nervous system development [GO:0007399]; neural crest cell differentiation [GO:0014033]; neural crest formation [GO:0014029]; positive regulation of cell cycle [GO:0045787]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; response to peptide hormone [GO:0043434]; Wnt signaling pathway [GO:0016055]","GO:0005041; GO:0005102; GO:0005109; GO:0005576; GO:0005783; GO:0005886; GO:0006897; GO:0007204; GO:0007268; GO:0007399; GO:0009986; GO:0014029; GO:0014033; GO:0015026; GO:0016055; GO:0017147; GO:0019210; GO:0019534; GO:0031410; GO:0031901; GO:0034392; GO:0042802; GO:0042803; GO:0042813; GO:0043025; GO:0043434; GO:0045121; GO:0045202; GO:0045787; GO:0045893; GO:0045944; GO:0051091; GO:0060070; GO:0071397; GO:0071542; GO:0071901; GO:0072659; GO:0098609; GO:1904948; GO:1990851; GO:1990909","cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]; Wnt signalosome [GO:1990909]; Wnt-Frizzled-LRP5/6 complex [GO:1990851]","coreceptor activity [GO:0015026]; frizzled binding [GO:0005109]; identical protein binding [GO:0042802]; kinase inhibitor activity [GO:0019210]; low-density lipoprotein particle receptor activity [GO:0005041]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; toxin transmembrane transporter activity [GO:0019534]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]"
"740","Pocillopora_acuta_HIv2___RNAseq.g28986.t1",400.526022720074,-5.92374731905533,3.74915145559259,9.0475325779482e-07,1.43490692113424e-05,NA,NA,NA,NA,NA,NA,NA
"741","Pocillopora_acuta_HIv2___RNAseq.g15149.t1",1373.29593512977,-1.46151556377481,2.950177965228,9.39385251586915e-07,1.48678362260828e-05,NA,NA,NA,NA,NA,NA,NA
"742","Pocillopora_acuta_HIv2___RNAseq.g17695.t1",183.227814604133,-5.62556583713881,1.97932667003346,9.3951896506082e-07,1.48678362260828e-05,"Q7RTR2",4.3e-74,"NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","canonical NF-kappaB signal transduction [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:0051898; GO:1900016; GO:1900226; GO:1901223","centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]","ATP binding [GO:0005524]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]"
"743","Pocillopora_acuta_HIv2___TS.g23073.t1",71.5722372876972,-10.3078690790644,3.63159711215925,9.4344920484299e-07,1.49137150807093e-05,NA,NA,NA,NA,NA,NA,NA
"744","Pocillopora_acuta_HIv2___RNAseq.g17236.t1",86.7427442155141,-6.36766554692249,2.05125054951316,9.58362512826442e-07,1.5132920726552e-05,NA,NA,NA,NA,NA,NA,NA
"745","Pocillopora_acuta_HIv2___RNAseq.g13970.t2",372.905921792342,-8.56160505603346,3.82580384917884,9.81421003012739e-07,1.54464345893104e-05,"Q8TAM2",0,"Tetratricopeptide repeat protein 8 (TPR repeat protein 8) (Bardet-Biedl syndrome 8 protein)","axon guidance [GO:0007411]; camera-type eye photoreceptor cell differentiation [GO:0060219]; cilium assembly [GO:0060271]; establishment of anatomical structure orientation [GO:0048560]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of planar polarity [GO:0001736]; fat cell differentiation [GO:0045444]; inner ear receptor cell stereocilium organization [GO:0060122]; multi-ciliated epithelial cell differentiation [GO:1903251]; multicellular organism growth [GO:0035264]; non-motile cilium assembly [GO:1905515]; olfactory bulb development [GO:0021772]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; regulation of protein localization [GO:0032880]; regulation of stress fiber assembly [GO:0051492]; renal tubule development [GO:0061326]; sensory perception of smell [GO:0007608]; sensory processing [GO:0050893]","GO:0001736; GO:0005813; GO:0005829; GO:0005929; GO:0007411; GO:0007608; GO:0015031; GO:0021772; GO:0032391; GO:0032880; GO:0034451; GO:0034464; GO:0035264; GO:0036064; GO:0045198; GO:0045444; GO:0048560; GO:0050893; GO:0051492; GO:0060122; GO:0060170; GO:0060219; GO:0060271; GO:0061326; GO:0061629; GO:0072659; GO:0097730; GO:1903251; GO:1905515","BBSome [GO:0034464]; centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; cytosol [GO:0005829]; non-motile cilium [GO:0097730]; photoreceptor connecting cilium [GO:0032391]","RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]"
"746","Pocillopora_acuta_HIv2___RNAseq.g2384.t1",386.949675165107,-1.40928926242487,2.7413523465675,9.90624183688286e-07,1.55743349922471e-05,"P02597",2.19e-39,"Calmodulin, striated muscle","","GO:0005509; GO:0005737","cytoplasm [GO:0005737]","calcium ion binding [GO:0005509]"
"747","Pocillopora_acuta_HIv2___RNAseq.g17162.t1",189.760137595328,-8.53004016855778,3.48925102980158,1.00655011660355e-06,1.57903914170864e-05,"Q76KP1",1.37e-82,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4)","","GO:0008376; GO:0032580; GO:0033842","Golgi cisterna membrane [GO:0032580]","acetylgalactosaminyltransferase activity [GO:0008376]; N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842]"
"748","Pocillopora_acuta_HIv2___RNAseq.g12801.t1b",184.466244039598,-8.48043762387612,3.36197291795286,1.0455971753957e-06,1.63497486972144e-05,"Q56A36",1.5e-22,"Hematopoietic SH2 domain-containing protein homolog","signal transduction [GO:0007165]","GO:0005737; GO:0007165","cytoplasm [GO:0005737]",""
"749","Pocillopora_acuta_HIv2___TS.g21317.t2",279.534150315599,-7.90183293406168,3.16672552030435,1.05384455721515e-06,1.64431582260626e-05,"Q9D3U0",2.3e-125,"tRNA pseudouridine synthase Pus10 (EC 5.4.99.25) (Coiled-coil domain-containing protein 139) (tRNA pseudouridine 55 synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)","primary miRNA processing [GO:0031053]; tRNA pseudouridine synthesis [GO:0031119]","GO:0005634; GO:0005737; GO:0005739; GO:0009982; GO:0031053; GO:0031119; GO:0046872; GO:0070878; GO:0106029; GO:0160148","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]","metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; pseudouridine synthase activity [GO:0009982]; tRNA pseudouridine synthase activity [GO:0106029]; tRNA pseudouridine(55) synthase activity [GO:0160148]"
"750","Pocillopora_acuta_HIv2___RNAseq.g5341.t1",2339.32055669593,4.95347116714507,3.00241883079337,1.07618190218134e-06,1.67555382488169e-05,NA,NA,NA,NA,NA,NA,NA
"751","Pocillopora_acuta_HIv2___RNAseq.18718_t",265.132738380105,-8.63497052303741,3.44924343447686,1.10674443356904e-06,1.7175913612814e-05,NA,NA,NA,NA,NA,NA,NA
"752","Pocillopora_acuta_HIv2___TS.g28111.t1",363.677410884631,-3.86336024056627,5.28405539962833,1.11484755509308e-06,1.72646199538183e-05,"Q7TPD1",0,"F-box only protein 11","negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904878]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; sensory perception of sound [GO:0007605]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0004842; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006511; GO:0007605; GO:0008270; GO:0010719; GO:0016274; GO:0016567; GO:0042981; GO:0043161; GO:0045732; GO:1904878; GO:1990756","chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]","protein-arginine N-methyltransferase activity [GO:0016274]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"
"753","Pocillopora_acuta_HIv2___RNAseq.g26862.t1",335.489418510941,-1.37474999704995,2.67798118672354,1.12704535546629e-06,1.74162222451543e-05,NA,NA,NA,NA,NA,NA,NA
"754","Pocillopora_acuta_HIv2___TS.g21601.t1",154.91928275956,-6.15751461103776,1.94333077364569,1.15913196786396e-06,1.7835834875728e-05,NA,NA,NA,NA,NA,NA,NA
"755","Pocillopora_acuta_HIv2___RNAseq.g5807.t1",9139.3164167662,4.45541176387539,1.40923496650172,1.18122356398237e-06,1.81179402221007e-05,"Q8I335",2.76e-08,"Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)","positive regulation of translation [GO:0045727]; translation [GO:0006412]","GO:0003924; GO:0005525; GO:0005743; GO:0006412; GO:0043022; GO:0045727","mitochondrial inner membrane [GO:0005743]","GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]"
"756","Pocillopora_acuta_HIv2___RNAseq.g4097.t1",64440.9190646108,-4.71876297268571,1.41949123282891,1.18772686603633e-06,1.81983913033364e-05,NA,NA,NA,NA,NA,NA,NA
"757","Pocillopora_acuta_HIv2___RNAseq.g7215.t1",116.668353188051,-7.99716406892294,3.01893290214959,1.18920774793179e-06,1.81991113893128e-05,"Q3U481",4.13e-30,"Major facilitator superfamily domain-containing protein 12 (Protein grizzled)","carbohydrate transport [GO:0008643]; cysteine transmembrane transport [GO:1903712]; melanin biosynthetic process [GO:0042438]; negative regulation of melanin biosynthetic process [GO:0048022]; pigment metabolic process involved in pigmentation [GO:0043474]; regulation of melanin biosynthetic process [GO:0048021]","GO:0005764; GO:0005765; GO:0005770; GO:0005886; GO:0008643; GO:0015293; GO:0033162; GO:0033229; GO:0042438; GO:0043474; GO:0048021; GO:0048022; GO:1903712","late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome membrane [GO:0033162]; plasma membrane [GO:0005886]","cysteine transmembrane transporter activity [GO:0033229]; symporter activity [GO:0015293]"
"758","Pocillopora_acuta_HIv2___RNAseq.g25207.t1",281.735649112322,-1.48664860556755,3.05685970228921,1.19029033284637e-06,1.81991113893128e-05,NA,NA,NA,NA,NA,NA,NA
"759","Pocillopora_acuta_HIv2___RNAseq.g31067.t1",208.117822889682,-7.47050926360082,3.35331412633809,1.19750234558645e-06,1.82900463849656e-05,NA,NA,NA,NA,NA,NA,NA
"760","Pocillopora_acuta_HIv2___RNAseq.g9293.t1",214.074366971945,-1.24214349804214,2.68875412674712,1.25256852675067e-06,1.9030620977859e-05,"Q9CR50",1.88e-50,"RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363)","positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0000151; GO:0002039; GO:0005102; GO:0005634; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0016607; GO:0031398; GO:0032436; GO:0042803; GO:0051865; GO:0061630; GO:0072344","cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]","p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]"
"761","Pocillopora_acuta_HIv2___RNAseq.g2436.t1",3002.38733152766,-3.02264383889924,0.734034148966942,1.27312183940692e-06,1.9322596311838e-05,NA,NA,NA,NA,NA,NA,NA
"762","Pocillopora_acuta_HIv2___RNAseq.g1508.t1",634.708891492389,-4.70405773946982,4.74238162791659,1.38578699230796e-06,2.08791906841066e-05,"Q27084",1.79e-76,"Tachylectin-2 (Lectin L10c)","innate immune response [GO:0045087]","GO:0005576; GO:0030246; GO:0045087","extracellular region [GO:0005576]","carbohydrate binding [GO:0030246]"
"763","Pocillopora_acuta_HIv2___RNAseq.g31.t1",1891.4383734855,-1.04735870895912,1.79310615716755,1.40000200597811e-06,2.10714141669796e-05,"G8HTB6",3.14e-49,"ZP domain-containing protein","","GO:0016020","membrane [GO:0016020]",""
