,query,baseMean,log2FoldChange,lfcSE,pvalue,padj,Heatmap_Label,blast_hit,evalue,ProteinNames,BiologicalProcess,GeneOntologyIDs
1812,Pocillopora_acuta_HIv2___RNAseq.g30085.t1,356.1171209,0.584296729,1.266323221,0.000129459,0.001033383,,A0A2J6RX17,6.53E-06,Nucleotide-binding leucine-rich repeat (NLR)-like protein (EC 3.5.99.-),nucleoside metabolic process [GO:0009116],GO:0009116; GO:0016787; GO:0043531
1813,Pocillopora_acuta_HIv2___RNAseq.g12797.t1,419.9741417,-0.316206451,1.050525865,0.000130772,0.001042827,,Q5ZHV2,0,"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Protein MAK10 homolog)",negative regulation of apoptotic process [GO:0043066]; smooth muscle cell proliferation [GO:0048659],GO:0005737; GO:0031417; GO:0043066; GO:0048659
1814,Pocillopora_acuta_HIv2___RNAseq.g7248.t1,34.8871882,-8.607142655,3.920590177,0.000130837,0.001042827,,Q8WU66,9.09E-34,Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR),hair cycle process [GO:0022405]; Notch signaling pathway [GO:0007219]; regulation of Notch signaling pathway [GO:0008593]; sensory perception of sound [GO:0007605]; signal transduction [GO:0007165]; tooth mineralization [GO:0034505],GO:0005576; GO:0007165; GO:0007219; GO:0007605; GO:0008593; GO:0009986; GO:0022405; GO:0032420; GO:0034505; GO:0060170
1815,Pocillopora_acuta_HIv2___RNAseq.g26700.t1,3564.825125,-2.851097043,1.082807614,0.000130858,0.001042827,,E9PUL5,2.16E-08,Proline-rich transmembrane protein 2 (Dispanin subfamily B member 3) (DSPB3),negative regulation of short-term synaptic potentiation [GO:1905513]; negative regulation of SNARE complex assembly [GO:0035544]; neuromuscular process controlling posture [GO:0050884]; regulation of calcium-dependent activation of synaptic vesicle fusion [GO:0150037]; synaptic vesicle fusion to presynaptic active zone membrane [GO:0031629],GO:0005886; GO:0008021; GO:0016020; GO:0017075; GO:0017124; GO:0030672; GO:0031629; GO:0031982; GO:0035544; GO:0042734; GO:0043005; GO:0043197; GO:0043679; GO:0050884; GO:0098793; GO:0098839; GO:0098978; GO:0150037; GO:1905513
1816,Pocillopora_acuta_HIv2___RNAseq.g28803.t1b,11712.52697,2.240466621,0.710158676,0.000131086,0.001044067,Collagen alpha-2(I) chain (Alpha-2 type I collagen),P02466,4.64E-152,Collagen alpha-2(I) chain (Alpha-2 type I collagen),blood vessel development [GO:0001568]; bone mineralization [GO:0030282]; cellular response to aldehyde [GO:0110096]; cellular response to amino acid stimulus [GO:0071230]; cellular response to retinoic acid [GO:0071300]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; extracellular matrix assembly [GO:0085029]; extracellular matrix organization [GO:0030198]; protein heterotrimerization [GO:0070208]; regulation of blood pressure [GO:0008217]; response to norepinephrine [GO:0071873]; Rho protein signal transduction [GO:0007266]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; transforming growth factor beta receptor signaling pathway [GO:0007179],GO:0001501; GO:0001568; GO:0002020; GO:0005576; GO:0005581; GO:0005584; GO:0005615; GO:0007179; GO:0007266; GO:0008217; GO:0030020; GO:0030198; GO:0030199; GO:0030282; GO:0030674; GO:0032963; GO:0042802; GO:0043589; GO:0046332; GO:0046872; GO:0048407; GO:0062023; GO:0070208; GO:0071230; GO:0071300; GO:0071873; GO:0085029; GO:0097067; GO:0110096
1817,Pocillopora_acuta_HIv2___TS.g7149.t2,312.848616,-2.390343439,3.577163907,0.000132068,0.00105131,,Q8CDT7,1.55E-28,Ciliary-associated calcium-binding coiled-coil protein 1,,GO:0005509; GO:0005737; GO:0005813; GO:0036126
1818,Pocillopora_acuta_HIv2___RNAseq.g11561.t1,274.3079939,-0.145420087,1.018140331,0.000132775,0.001056359,,Q6P2H3,1.96E-47,Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21),cell migration [GO:0016477]; centriole assembly [GO:0098534]; centriole replication [GO:0007099]; chromosome segregation [GO:0007059]; negative regulation of protein kinase activity [GO:0006469]; regulation of mitotic centrosome separation [GO:0046602],GO:0000242; GO:0000922; GO:0005730; GO:0005794; GO:0005813; GO:0005814; GO:0005829; GO:0005938; GO:0006469; GO:0007059; GO:0007099; GO:0016477; GO:0042802; GO:0046602; GO:0098534
1819,Pocillopora_acuta_HIv2___RNAseq.g4885.t1,56.91872047,-0.701797429,1.381180397,0.000133164,0.001058871,,NA,NA,NA,NA,NA
1820,Pocillopora_acuta_HIv2___RNAseq.g7645.t1,1667.130172,-3.744851896,1.729302353,0.000134038,0.001064743,,Q9BYK8,0,"3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)",positive regulation of transcription by RNA polymerase II [GO:0045944]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194],GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0008859; GO:0016020; GO:0016887; GO:0030374; GO:0035194; GO:0043186; GO:0045944; GO:0046872
1821,Pocillopora_acuta_HIv2___RNAseq.g6843.t1,112.9376764,-0.602923266,1.261993448,0.000134138,0.001064743,,Q5R752,6.47E-09,Nuclear RNA export factor 1,mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973],GO:0003723; GO:0005634; GO:0005737; GO:0006406; GO:0016607; GO:0016973
1822,Pocillopora_acuta_HIv2___RNAseq.g20575.t1,171.4287044,0.364545981,1.111130258,0.000134234,0.001064743,,Q92626,9.24E-24,Peroxidasin homolog (EC 1.11.2.-) (Melanoma-associated antigen MG50) (Peroxidasin 1) (hsPxd01) (Vascular peroxidase 1) (p53-responsive gene 2 protein) [Cleaved into: PXDN active fragment],angiogenesis [GO:0001525]; basement membrane assembly [GO:0070831]; basement membrane organization [GO:0071711]; cell adhesion [GO:0007155]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; eye development [GO:0001654]; hydrogen peroxide catabolic process [GO:0042744]; immune response [GO:0006955]; protein homooligomerization [GO:0051260]; protein homotrimerization [GO:0070207]; response to oxidative stress [GO:0006979],GO:0001525; GO:0001654; GO:0004601; GO:0005152; GO:0005201; GO:0005576; GO:0005604; GO:0005615; GO:0005783; GO:0006955; GO:0006979; GO:0007155; GO:0009986; GO:0016684; GO:0020037; GO:0030198; GO:0030199; GO:0031012; GO:0042744; GO:0043237; GO:0046872; GO:0051260; GO:0062023; GO:0070062; GO:0070207; GO:0070831; GO:0071711; GO:0140825
1823,Pocillopora_acuta_HIv2___RNAseq.g29607.t1,425.4450066,-0.401490071,1.068151442,0.000134249,0.001064743,,Q08D69,6.60E-138,Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16),,GO:0016592
1824,Pocillopora_acuta_HIv2___RNAseq.g11841.t1,231.7885874,-0.391077297,1.107267705,0.000134271,0.001064743,,Q9BY27,1.02E-42,Protein DGCR6L (DiGeorge syndrome critical region 6-like protein),,GO:0005634
1825,Pocillopora_acuta_HIv2___TS.g2197.t1,567.4944008,-0.339866078,1.050699332,0.000134645,0.00106713,,NA,NA,NA,NA,NA
1826,Pocillopora_acuta_HIv2___TS.g2537.t1,171.0127244,-0.255654553,1.051600119,0.00013486,0.001068247,,A0JNG0,2.85E-128,Transmembrane protein 168,,GO:0017080; GO:0031965
1827,Pocillopora_acuta_HIv2___RNAseq.g10777.t1,187.4550841,-1.132423586,1.916725809,0.000135481,0.001072576,,Q8CAQ8,1.39E-70,MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin),cristae formation [GO:0042407]; mitochondrial calcium ion homeostasis [GO:0051560]; neuron cellular homeostasis [GO:0070050],GO:0005739; GO:0005743; GO:0005758; GO:0042407; GO:0043209; GO:0051560; GO:0061617; GO:0070050
1828,Pocillopora_acuta_HIv2___RNAseq.g26611.t1,274.9946381,-0.190947959,1.0272519,0.000136966,0.001082857,,F6YVB9,8.02E-66,Transcription factor E2F7 (E2F-7),"chorionic trophoblast cell differentiation [GO:0060718]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; hepatocyte differentiation [GO:0070365]; negative regulation of cytokinesis [GO:0032466]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA endoreduplication [GO:0032877]; sprouting angiogenesis [GO:0002040]",GO:0000122; GO:0000978; GO:0001217; GO:0002040; GO:0003700; GO:0005634; GO:0005667; GO:0006977; GO:0032466; GO:0032877; GO:0060718; GO:0070365; GO:2000134
1829,Pocillopora_acuta_HIv2___RNAseq.g5559.t1,367.9897255,-0.279365245,1.058714147,0.00013697,0.001082857,,Q8DVP8,1.15E-06,Ribosome-binding factor A,maturation of SSU-rRNA [GO:0030490],GO:0005737; GO:0030490
1830,Pocillopora_acuta_HIv2___TS.g15232.t1a,167.8129076,-1.485652254,2.733044638,0.000137004,0.001082857,,NA,NA,NA,NA,NA
1831,Pocillopora_acuta_HIv2___RNAseq.g4326.t1,294.8305161,-0.282483631,1.041336875,0.0001372,0.001083809,,Q1LXK4,0,Putative helicase mov-10-B.1 (EC 3.6.4.13),miRNA-mediated gene silencing by mRNA destabilization [GO:0035279]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194],GO:0000932; GO:0003723; GO:0005524; GO:0005829; GO:0016887; GO:0032574; GO:0035194; GO:0035279; GO:0043186
1832,Pocillopora_acuta_HIv2___RNAseq.g26031.t1a,11043.6237,-3.075647288,4.913517464,0.000137373,0.001084079,,Q505H7,1.53E-11,Protein IWS1 homolog (IWS1-like protein),mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; RNA splicing [GO:0008380],GO:0005634; GO:0006397; GO:0008380; GO:0051028
1833,Pocillopora_acuta_HIv2___TS.g3558.t1,266.741206,-0.421514409,1.128264771,0.000137384,0.001084079,,P82968,2.37E-37,Four-domain proteases inhibitor (McaPI),cell differentiation [GO:0030154],GO:0004867; GO:0030154
1834,Pocillopora_acuta_HIv2___RNAseq.g5711.t2,347.7761686,-1.374014822,2.623576642,0.000137817,0.001086907,,Q8CGF6,1.70E-111,WD repeat-containing protein 47 (Neuronal enriched MAP interacting protein) (Nemitin),adult locomotory behavior [GO:0008344]; anterior commissure morphogenesis [GO:0021960]; autophagy [GO:0006914]; brain development [GO:0007420]; cerebral cortex development [GO:0021987]; cerebral cortex radial glia-guided migration [GO:0021801]; corpus callosum development [GO:0022038]; detection of hot stimulus involved in thermoception [GO:0120168]; locomotory behavior [GO:0007626]; microtubule cytoskeleton organization [GO:0000226]; motor behavior [GO:0061744]; negative regulation of microtubule depolymerization [GO:0007026]; neural precursor cell proliferation [GO:0061351]; neuron projection development [GO:0031175]; neuronal stem cell population maintenance [GO:0097150],GO:0000226; GO:0005737; GO:0005874; GO:0006914; GO:0007026; GO:0007420; GO:0007626; GO:0008344; GO:0021801; GO:0021960; GO:0021987; GO:0022038; GO:0030424; GO:0030425; GO:0030426; GO:0031175; GO:0043005; GO:0043025; GO:0044877; GO:0061351; GO:0061744; GO:0097150; GO:0120168
1835,Pocillopora_acuta_HIv2___RNAseq.g20624.t1,87.95702012,-0.689191838,1.283367543,0.000140001,0.00110353,,NA,NA,NA,NA,NA
1836,Pocillopora_acuta_HIv2___RNAseq.25352_t,86.27920298,0.776881423,1.46645038,0.000140348,0.001105665,,Q9Y618,6.34E-08,"Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)",cerebellum development [GO:0021549]; estrous cycle [GO:0044849]; lactation [GO:0007595]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of cellular ketone metabolic process [GO:0010565]; response to estradiol [GO:0032355]; response to organonitrogen compound [GO:0010243],GO:0000122; GO:0000785; GO:0003677; GO:0003682; GO:0003714; GO:0005112; GO:0005634; GO:0005654; GO:0007595; GO:0010243; GO:0010565; GO:0016020; GO:0016363; GO:0016604; GO:0017053; GO:0021549; GO:0032355; GO:0035259; GO:0042826; GO:0044849; GO:0045892; GO:0046965; GO:0060766; GO:1902894
1837,Pocillopora_acuta_HIv2___RNAseq.g4102.t1,256.4212174,-0.356923412,1.055151711,0.000140442,0.001105802,,NA,NA,NA,NA,NA
1838,Pocillopora_acuta_HIv2___RNAseq.12371_t,4891.918657,-2.541310468,0.876640385,0.000141038,0.001109884,,NA,NA,NA,NA,NA
1839,Pocillopora_acuta_HIv2___TS.g21852.t1,209.9138114,0.223681266,1.042915885,0.000141674,0.001114284,,NA,NA,NA,NA,NA
1840,Pocillopora_acuta_HIv2___RNAseq.g26015.t1,107.9601253,-1.057209292,1.755178185,0.000141966,0.001115976,,NA,NA,NA,NA,NA
1841,Pocillopora_acuta_HIv2___RNAseq.g3515.t1,95.72880929,3.465373656,3.035917863,0.00014276,0.001121608,,Q9UBC2,2.99E-08,Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R),endocytosis [GO:0006897]; endosomal transport [GO:0016197],GO:0005509; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006897; GO:0016020; GO:0016197; GO:0030132; GO:0045296
1842,Pocillopora_acuta_HIv2___RNAseq.g24371.t1,354.7227833,-0.254883273,1.052754678,0.000143383,0.001125888,,Q6MG12,6.35E-20,Uncharacterized protein C6orf136 homolog,,
1843,Pocillopora_acuta_HIv2___RNAseq.g21321.t1a,173.5127957,-0.360968287,1.070494511,0.000143742,0.001128097,,NA,NA,NA,NA,NA
1844,Pocillopora_acuta_HIv2___RNAseq.g14741.t1,196.9404786,-2.987405146,3.679586105,0.000144155,0.001130723,,Q92733,8.99E-40,Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein),regulation of cell cycle [GO:0051726],GO:0005634; GO:0005654; GO:0016607; GO:0051726
1845,Pocillopora_acuta_HIv2___RNAseq.g4399.t2,947.1173738,-2.064725069,3.784189986,0.000144909,0.001135541,,Q14114,1.03E-27,Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2),ammon gyrus development [GO:0021541]; cellular response to cholesterol [GO:0071397]; cellular response to growth factor stimulus [GO:0071363]; chemical synaptic transmission [GO:0007268]; cytokine-mediated signaling pathway [GO:0019221]; dendrite morphogenesis [GO:0048813]; endocytosis [GO:0006897]; layer formation in cerebral cortex [GO:0021819]; lipid metabolic process [GO:0006629]; modulation of chemical synaptic transmission [GO:0050804]; positive regulation of dendrite development [GO:1900006]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; proteolysis [GO:0006508]; reelin-mediated signaling pathway [GO:0038026]; regulation of apoptotic process [GO:0042981]; regulation of innate immune response [GO:0045088]; response to xenobiotic stimulus [GO:0009410]; retinoid metabolic process [GO:0001523]; signal transduction [GO:0007165]; ventral spinal cord development [GO:0021517],GO:0001523; GO:0001540; GO:0004888; GO:0005041; GO:0005509; GO:0005615; GO:0005875; GO:0005886; GO:0005901; GO:0006508; GO:0006629; GO:0006897; GO:0007165; GO:0007268; GO:0008035; GO:0009410; GO:0009986; GO:0016020; GO:0019221; GO:0019894; GO:0021517; GO:0021541; GO:0021819; GO:0030229; GO:0030424; GO:0030425; GO:0034185; GO:0038024; GO:0038025; GO:0038026; GO:0042981; GO:0043025; GO:0043235; GO:0045088; GO:0045202; GO:0048306; GO:0048813; GO:0050731; GO:0050804; GO:0061003; GO:0071363; GO:0071397; GO:1900006
1846,Pocillopora_acuta_HIv2___RNAseq.g24682.t1,219.0496749,-0.723494094,1.329874621,0.000144948,0.001135541,,Q8IYT3,6.76E-108,Coiled-coil domain-containing protein 170,microtubule cytoskeleton organization [GO:0000226],GO:0000226; GO:0005794; GO:0008017; GO:0030054; GO:0036064
1847,Pocillopora_acuta_HIv2___RNAseq.g27398.t1,253.3122466,-0.435213044,1.136731935,0.000145004,0.001135541,,NA,NA,NA,NA,NA
1848,Pocillopora_acuta_HIv2___RNAseq.g25582.t1,237.9811082,-0.248827096,1.06418301,0.000145445,0.001138373,Chloroquine resistance transporter paralog 1,Q9GSB0,7.63E-10,Crt homolog 1 (Chloroquine resistance transporter paralog 1) (DdCRTp1),amino acid transport [GO:0006865],GO:0005774; GO:0006865; GO:0012506; GO:0042910
1849,Pocillopora_acuta_HIv2___RNAseq.g23414.t1,258.4078773,-3.237763037,1.772988928,0.000146139,0.001143192,,P35404,3.73E-12,5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B),adenylate cyclase-inhibiting serotonin receptor signaling pathway [GO:0007198]; bone remodeling [GO:0046849]; cellular response to alkaloid [GO:0071312]; cellular response to xenobiotic stimulus [GO:0071466]; chemical synaptic transmission [GO:0007268]; negative regulation of serotonin secretion [GO:0014063]; regulation of behavior [GO:0050795]; vasoconstriction [GO:0042310],GO:0004993; GO:0005886; GO:0007198; GO:0007268; GO:0014063; GO:0042310; GO:0045202; GO:0046849; GO:0050795; GO:0071312; GO:0071466
1850,Pocillopora_acuta_HIv2___RNAseq.g25250.t1,302.1147404,-1.167056989,2.007731686,0.000146765,0.001147467,,Q66J85,3.32E-39,AN1-type zinc finger protein 3 homolog,,GO:0003677; GO:0008270
1851,Pocillopora_acuta_HIv2___RNAseq.g12694.t1,229.1840438,-0.431988402,1.125568185,0.000147083,0.001149329,Putative helicase MOV-10,Q5ZKD7,0,Putative helicase MOV-10 (EC 3.6.4.13),3'-UTR-mediated mRNA destabilization [GO:0061158]; miRNA-mediated gene silencing by mRNA destabilization [GO:0035279]; miRNA-mediated post-transcriptional gene silencing [GO:0035195]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of neuron projection arborization [GO:0150011]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; retrotransposon silencing [GO:0010526],GO:0000932; GO:0003723; GO:0005524; GO:0005634; GO:0005829; GO:0010494; GO:0010526; GO:0016887; GO:0032574; GO:0035194; GO:0035195; GO:0035279; GO:0036464; GO:0043186; GO:0061014; GO:0061158; GO:0150011
1852,Pocillopora_acuta_HIv2___RNAseq.g24544.t1,2097.921709,-0.903487885,1.513922865,0.000147598,0.001151698,,Q9BYT9,0,Anoctamin-3 (Transmembrane protein 16C),calcium activated galactosylceramide scrambling [GO:0061591]; calcium activated phosphatidylcholine scrambling [GO:0061590]; chloride transmembrane transport [GO:1902476]; detection of mechanical stimulus [GO:0050982]; detection of temperature stimulus [GO:0016048]; establishment of localization in cell [GO:0051649]; monoatomic ion transmembrane transport [GO:0034220],GO:0005254; GO:0005886; GO:0016048; GO:0017128; GO:0034220; GO:0046983; GO:0050982; GO:0051649; GO:0061590; GO:0061591; GO:1902476
1853,Pocillopora_acuta_HIv2___RNAseq.g16249.t2,820.6089669,-0.702593459,1.290520099,0.000147733,0.001151698,,NA,NA,NA,NA,NA
1854,Pocillopora_acuta_HIv2___RNAseq.g17022.t1,333.7849193,-0.368233359,1.094602282,0.000147756,0.001151698,,A5D6V4,5.25E-55,Transmembrane protein 17B,cilium assembly [GO:0060271]; non-motile cilium assembly [GO:1905515]; smoothened signaling pathway [GO:0007224],GO:0007224; GO:0035869; GO:0036038; GO:0060170; GO:0060271; GO:1905515
1855,Pocillopora_acuta_HIv2___RNAseq.g9305.t1,678.5945625,-0.279920626,1.034750569,0.000147776,0.001151698,,Q8R151,2.93E-62,NFX1-type zinc finger-containing protein 1,activation of innate immune response [GO:0002218]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; innate immune response [GO:0045087]; negative regulation of viral genome replication [GO:0045071]; regulatory ncRNA-mediated heterochromatin formation [GO:0031048],GO:0002218; GO:0003723; GO:0004386; GO:0005741; GO:0008270; GO:0010494; GO:0031048; GO:0031380; GO:0042742; GO:0045071; GO:0045087; GO:0051607
1856,Pocillopora_acuta_HIv2___TS.g29741.t1,81.18419956,-0.543760324,1.23725444,0.000147784,0.001151698,,Q96QE2,2.73E-179,Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13),myo-inositol transport [GO:0015798]; positive regulation of amyloid-beta formation [GO:1902004]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104],GO:0002020; GO:0005365; GO:0005366; GO:0005737; GO:0005886; GO:0015798; GO:0016020; GO:0016324; GO:0030426; GO:0031090; GO:0042995; GO:0043231; GO:0044297; GO:0051117; GO:0055085; GO:0071944; GO:0097450; GO:0150104; GO:1902004
1857,Pocillopora_acuta_HIv2___RNAseq.g4496.t1,169.3171672,-0.567820403,1.244711957,0.000149251,0.001162506,,Q96QE2,0,Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13),myo-inositol transport [GO:0015798]; positive regulation of amyloid-beta formation [GO:1902004]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104],GO:0002020; GO:0005365; GO:0005366; GO:0005737; GO:0005886; GO:0015798; GO:0016020; GO:0016324; GO:0030426; GO:0031090; GO:0042995; GO:0043231; GO:0044297; GO:0051117; GO:0055085; GO:0071944; GO:0097450; GO:0150104; GO:1902004
1858,Pocillopora_acuta_HIv2___RNAseq.g28216.t1,405.7773503,-0.252254095,1.039919997,0.00014954,0.001164126,,Q9ESL9,1.54E-19,Fibroblast growth factor 20 (FGF-20),animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell migration [GO:0030334]; regulation of neuron differentiation [GO:0045664],GO:0001934; GO:0005104; GO:0005615; GO:0005737; GO:0008083; GO:0008284; GO:0008543; GO:0009887; GO:0010628; GO:0030154; GO:0030334; GO:0042491; GO:0043410; GO:0043524; GO:0045664; GO:0060043; GO:0070374; GO:0090722
1859,Pocillopora_acuta_HIv2___TS.g8915.t1,312.546407,-0.757838404,1.349185807,0.000150827,0.001173225,,Q3V096,2.86E-159,Ankyrin repeat domain-containing protein 42,positive regulation of cytokine production involved in inflammatory response [GO:1900017],GO:0005634; GO:0051059; GO:1900017
1860,Pocillopora_acuta_HIv2___RNAseq.g24327.t1,309.2842805,-0.333067858,1.077798513,0.000150871,0.001173225,Acid-sensing ion channel 3 (ASIC3),Q9UHC3,6.16E-41,Acid-sensing ion channel 3 (ASIC3) (hASIC3) (Amiloride-sensitive cation channel 3) (Neuronal amiloride-sensitive cation channel 3) (Testis sodium channel 1) (hTNaC1),detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; sensory perception [GO:0007600]; sensory perception of sour taste [GO:0050915]; signal transduction [GO:0007165]; sodium ion transmembrane transport [GO:0035725],GO:0005261; GO:0005272; GO:0005886; GO:0007165; GO:0007600; GO:0009408; GO:0010447; GO:0015280; GO:0035725; GO:0042931; GO:0048471; GO:0050915; GO:0050965; GO:0050966; GO:0050968; GO:0160128
1861,Pocillopora_acuta_HIv2___RNAseq.g20572.t1,103.7126715,-0.556689031,1.253013777,0.000151184,0.001175025,,Q9CYF5,6.24E-78,RCC1-like G exchanging factor-like protein (RCC1-like protein) (Williams-Beuren syndrome chromosomal region 16 protein homolog),mitochondrial fusion [GO:0008053]; positive regulation of mitochondrial translation [GO:0070131],GO:0005085; GO:0005739; GO:0005743; GO:0008053; GO:0019843; GO:0070131
1862,Pocillopora_acuta_HIv2___RNAseq.g21418.t1,788.4386715,3.349891975,1.615964706,0.000151799,0.001179176,,P16241,2.72E-76,POU domain protein CF1A (Chorion factor 1A) (CF1-A) (Protein drifter) (Ventral veins lacking protein),brain development [GO:0007420]; brain segmentation [GO:0035284]; dendrite morphogenesis [GO:0048813]; motor neuron axon guidance [GO:0008045]; peripheral nervous system development [GO:0007422]; positive regulation of antimicrobial peptide biosynthetic process [GO:0002807]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of dendrite morphogenesis [GO:0048814]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0002807; GO:0005634; GO:0006357; GO:0007420; GO:0007422; GO:0008045; GO:0035284; GO:0045944; GO:0048813; GO:0048814
1863,Pocillopora_acuta_HIv2___RNAseq.g8029.t1,359.2186135,-0.286731473,1.066506527,0.000152012,0.001180043,,NA,NA,NA,NA,NA
1864,Pocillopora_acuta_HIv2___TS.g15792.t1,1425.84151,1.848319777,4.166604186,0.000152194,0.001180043,Acidic skeletal organic matrix protein,B3EWY7,1.02E-70,Acidic skeletal organic matrix protein (Acidic SOMP),,GO:0005576
1865,Pocillopora_acuta_HIv2___TS.g15890.t2,143.1096193,0.729522493,1.436093167,0.000152223,0.001180043,,Q3U0J8,4.53E-53,TBC1 domain family member 2B,endocytosis [GO:0006897],GO:0005096; GO:0005769; GO:0005829; GO:0006897
1866,Pocillopora_acuta_HIv2___RNAseq.g7223.t1,358.2326815,-0.490989517,1.179020895,0.000152237,0.001180043,,NA,NA,NA,NA,NA
1867,Pocillopora_acuta_HIv2___RNAseq.g13857.t1,2577.46422,2.538916,3.464640477,0.000152842,0.001184099,,O19006,6.60E-91,Bone morphogenetic protein 2 (BMP-2),cartilage development [GO:0051216]; cell differentiation [GO:0030154]; ossification [GO:0001503]; positive regulation of odontoblast differentiation [GO:1901331],GO:0001503; GO:0005125; GO:0005615; GO:0008083; GO:0030154; GO:0051216; GO:1901331
